省份/城市,站点名称,空气质量指数
深圳(爬取时间：20170331_020913)
,深圳,78
,荔园,70
,洪湖,63
,华侨城,68
,元朗,40
,南油,61
,大埔,36
,观澜,42
,香港,5
,屯T,53
,荃湾,15
,西乡,78
,盐田,53
,葵涌,37
,沙田,69
,深水,28
,梅沙,53
,旺角,34
,龙岗,57
东莞(爬取时间：20170331_020915)
,东莞,78
,东莞南城元岭,78
,东莞莞城梨川,104
,东莞东城石井,82
,东莞东城主山,91
,东莞南城西平,61
武汉(爬取时间：20170331_020917)
,武汉,99
,汉口江滩,99
,汉口花桥,104
,汉阳月湖,104
,武昌紫阳,109
,东湖梨园,93
,青山钢花,134
,东湖高新,117
,吴家山,114
,沌口新区,144
上海(爬取时间：20170331_020920)
,上海,142
,上海美国总领事馆,142
,静安监测站,149
,上海师范专科学校附属小学,153
,全市平均,139
,普陀监测站,132
,徐汇上师大,127
,浦东监测站,127
,杨浦四漂,152
,虹口凉城,149
,浦东张江,134
,浦东川沙,114
天津(爬取时间：20170331_020921)
,天津,55
,天津前进道,55
,天津大理道,93
,天津宾水西道,93
,天津大直沽八号路,85
,天津海泰发展二路,122
,天津跃进路,72
,天津勤俭道,127
,天津淮河道,99
,天津航天路,80
,天津津沽路,82
,天津团泊洼,85
重庆(爬取时间：20170331_020931)
,重庆,50
,重庆解放碑,68
,重庆佛图关,19
,重庆观音桥,14
,重庆潘家坪,34
,重庆黄桷垭,37
,重庆南坪,30
,重庆歇台子,38
,重庆大竹林,50
,重庆礼嘉,46
,重庆茶园,70
,重庆新山村,50
,重庆唐家沱,38
,重庆鸳鸯,29
,重庆铁山坪,29
,重庆双山,25
,重庆龙井湾,17
,重庆回兴,26
,重庆空港,59
,重庆龙洲湾,80
,重庆蔡家,50
,重庆两路,63
,重庆鱼新街,91
,重庆白市驿,65
,重庆虎溪,53
广东(爬取时间：20170331_020935)
,广州荔湾西村,102
,广州公园前,102
,广州海珠宝岗,99
,广州海珠赤沙,87
,广州黄埔大沙地,119
,广州番禺市桥,119
,广州萝岗镇龙,144
,广州麓湖,99
,广州天湖,93
,广州竹洞,82
,广州磨碟沙站,91
,珠海斗门,127
,珠海吉大,117
,珠海前山,132
,珠海唐家,93
,佛山惠景城,129
,佛山湾梁,151
,佛山华材职中,151
,佛山三水云东海,129
,佛山南海气象局,117
,佛山高明孔堂,102
,佛山三水监测站,156
,江门东湖,107
,江门端芬,93
,江门双桥,102
,江门西区,137
,江门北街,137
,江门圭峰西,107
,肇庆坑口子站,112
,肇庆睦岗子站,87
,肇庆七星岩子站,80
,肇庆城中子站,87
,惠州金果湾,80
,惠州下埔,114
,惠州西角,78
,惠州河南岸,160
,惠州江北,104
,惠州惠阳船湖,102
,惠州大亚湾管委会,127
,东莞东城石井,89
,东莞南城西平,91
,东莞南城元岭,124
,中山紫马岭,85
,中山长江旅游区,95
,中山华柏园,109
,中山张溪,82
,韶关市八中,72
,韶关碧湖山庄,107
,韶关园林处,85
,韶关韶关学院,102
,韶关曲江监测站,112
,汕头金平子站,137
,汕头龙湖子站,144
,汕头濠江子站,122
,汕头澄海子站,163
,汕头潮阳子站,153
,湛江市环境监测站,85
,湛江环保局宿舍,74
,湛江霞山游泳场,93
,湛江湛江影剧院,104
,茂名市环保局茂港分局,46
,茂名茂石化七小,55
,茂名健康路,72
,梅州嘉应大学,160
,梅州梅县新城,154
,梅州环境监控中心,142
,汕尾市环保局,112
,汕尾市政府,144
,汕尾新城中学,139
,阳江鸳鸯湖,74
,阳江南恩路,78
,清远城区政府,91
,潮州西园路,170
,潮州档案局,168
,揭阳实验小学,157
,云浮市环境监测站,112
,云浮新市府指挥部,95
,云浮牧羊派出所,97
,汕头潮南子站,158
,湛江麻章区环保局,87
,湛江坡头区环保局,97
,茂名高岭,68
,广州万顷沙,152
,汕头南澳县子站,122
,佛山金桔咀,68
,佛山顺德苏岗,78
,佛山容桂街道办,87
,河源东埔,91
,河源源西,38
,河源老城,102
,清远环保大楼,104
,东莞莞城梨川,124
,东莞东城主山,119
,揭阳渔湖,159
,揭阳新兴,155
,揭阳东兴,157
,揭阳西马,168
,广州体育西,97
,美国领事馆 - 广州 中国,109
山西(爬取时间：20170331_020940)
,太原尖草坪,72
,太原上兰,76
,太原晋源,180
,太原小店,180
,太原桃园,78
,太原坞城,152
,太原南寨,65
,太原金胜,87
,长治监测站,157
,长治审计局,158
,长治清华站,151
,大同云冈宾馆,77
,大同安家小村,45
,大同果树场,50
,大同大同大学,76
,大同教育学院,72
,临汾技工学校,153
,临汾市委,157
,临汾临钢医院,156
,临汾工商学校,144
,临汾南机场,156
,阳泉赛鱼,185
,阳泉白羊墅,202
,阳泉南庄,180
,阳泉平坦,165
,阳泉大阳泉,162
,阳泉市中心,182
,长治长治八中,152
,晋城自来水公司,181
,晋城白云商贸,181
,晋城市环保局,182
,晋城技术学院,184
,晋城泽州一中,183
,朔州区政府,109
,朔州市环保局,68
,朔州市二中,55
,晋中锦纶小区,216
,晋中南都小区,204
,晋中榆次区政府,202
,运城运城中学,122
,运城禹都开发区,132
,运城地区技校,139
,运城空港新区,99
,忻州机引,102
,忻州开发区,61
,忻州会展中心,42
,吕梁自来水公司,154
北京(爬取时间：20170331_020952)
,北京,155
,北京美国大使馆,155
,朝阳农展馆,149
,东四环北路,154
,东城东四,155
,朝阳奥体中心,153
,前门东大街,159
,东城天坛,152
,西直门北大街,154
,永定门内大街,157
,西城官园,154
,西城万寿西宫,158
,南三环西路,159
,海淀万柳,158
,亦庄开发区,156
,通州新城,154
,丰台花园,158
,海淀北京植物园,165
,石景山古城,166
,顺义新城,160
,大兴黄村镇,157
